2026-07-13 16:59:57 | INFO | -----------------------------------------
2026-07-13 16:59:57 | INFO | Snowflake Deployment Started
2026-07-13 16:59:57 | INFO | -----------------------------------------
2026-07-13 17:00:34 | INFO | -----------------------------------------
2026-07-13 17:00:34 | INFO | Snowflake Deployment Started
2026-07-13 17:00:34 | INFO | -----------------------------------------
2026-07-13 17:00:34 | INFO | Starting Repository Validation...
2026-07-13 17:00:34 | INFO | Validating Project Structure...
2026-07-13 17:00:34 | INFO | Repository Structure Validation Successful.
2026-07-13 17:00:34 | INFO | Validating database/schema folder names...
2026-07-13 17:00:34 | INFO | Schema path validation successful for 11 target(s).
2026-07-13 17:00:34 | INFO | Validating SchemaChange File Naming...
2026-07-13 17:00:34 | INFO | Migration File Validation Successful.
2026-07-13 17:00:34 | INFO | Validating duplicate migration versions...
2026-07-13 17:00:34 | INFO | Duplicate migration version validation successful.
2026-07-13 17:00:34 | INFO | Skipping immutable migration validation (no base ref supplied).
2026-07-13 17:00:34 | INFO | All Repository Validations Completed Successfully.
2026-07-13 17:00:34 | INFO | Validation-only run completed successfully.
2026-07-13 17:00:54 | INFO | -----------------------------------------
2026-07-13 17:00:54 | INFO | Snowflake Deployment Started
2026-07-13 17:00:54 | INFO | -----------------------------------------
2026-07-13 17:00:54 | INFO | Starting Repository Validation...
2026-07-13 17:00:54 | INFO | Validating Project Structure...
2026-07-13 17:00:54 | INFO | Repository Structure Validation Successful.
2026-07-13 17:00:54 | INFO | Validating database/schema folder names...
2026-07-13 17:00:54 | INFO | Schema path validation successful for 11 target(s).
2026-07-13 17:00:54 | INFO | Validating SchemaChange File Naming...
2026-07-13 17:00:54 | INFO | Migration File Validation Successful.
2026-07-13 17:00:54 | INFO | Validating duplicate migration versions...
2026-07-13 17:00:54 | INFO | Duplicate migration version validation successful.
2026-07-13 17:00:54 | INFO | Validating immutable versioned migrations against HEAD...
2026-07-13 17:00:54 | INFO | Immutable migration validation successful.
2026-07-13 17:00:54 | INFO | All Repository Validations Completed Successfully.
2026-07-13 17:00:54 | INFO | Validation-only run completed successfully.
2026-07-13 19:00:36 | INFO | -----------------------------------------
2026-07-13 19:00:36 | INFO | Snowflake Deployment Started
2026-07-13 19:00:36 | INFO | -----------------------------------------
2026-07-13 19:00:36 | INFO | Starting Repository Validation...
2026-07-13 19:00:36 | INFO | Validating Project Structure...
2026-07-13 19:00:36 | INFO | Repository Structure Validation Successful.
2026-07-13 19:00:36 | INFO | Validating database/schema folder names...
2026-07-13 19:00:36 | INFO | Schema path validation successful for 11 target(s).
2026-07-13 19:00:36 | INFO | Validating SchemaChange File Naming...
2026-07-13 19:00:36 | INFO | Migration File Validation Successful.
2026-07-13 19:00:36 | INFO | Validating duplicate migration versions...
2026-07-13 19:00:37 | INFO | Duplicate migration version validation successful.
2026-07-13 19:00:37 | INFO | Skipping immutable migration validation (no base ref supplied).
2026-07-13 19:00:37 | INFO | All Repository Validations Completed Successfully.
2026-07-13 19:00:37 | INFO | Validation-only run completed successfully.
2026-07-13 19:08:27 | INFO | -----------------------------------------
2026-07-13 19:08:27 | INFO | Snowflake Deployment Started
2026-07-13 19:08:27 | INFO | -----------------------------------------
2026-07-13 19:08:27 | INFO | Starting Repository Validation...
2026-07-13 19:08:27 | INFO | Validating Project Structure...
2026-07-13 19:08:27 | INFO | Repository Structure Validation Successful.
2026-07-13 19:08:27 | INFO | Validating database/schema folder names...
2026-07-13 19:08:27 | INFO | Schema path validation successful for 11 target(s).
2026-07-13 19:08:27 | INFO | Validating SchemaChange File Naming...
2026-07-13 19:08:27 | INFO | Migration File Validation Successful.
2026-07-13 19:08:27 | INFO | Validating duplicate migration versions...
2026-07-13 19:08:27 | INFO | Duplicate migration version validation successful.
2026-07-13 19:08:27 | INFO | Skipping immutable migration validation (no base ref supplied).
2026-07-13 19:08:27 | INFO | All Repository Validations Completed Successfully.
2026-07-13 19:08:27 | INFO | Validation-only run completed successfully.
2026-07-13 20:01:05 | INFO | -----------------------------------------
2026-07-13 20:01:05 | INFO | Snowflake Deployment Started
2026-07-13 20:01:05 | INFO | -----------------------------------------
2026-07-13 20:01:05 | INFO | Starting Repository Validation...
2026-07-13 20:01:05 | INFO | Validating Project Structure...
2026-07-13 20:01:05 | INFO | Repository Structure Validation Successful.
2026-07-13 20:01:05 | INFO | Validating database/schema folder names...
2026-07-13 20:01:05 | INFO | Schema path validation successful for 11 target(s).
2026-07-13 20:01:05 | INFO | Validating SchemaChange File Naming...
2026-07-13 20:01:05 | INFO | Migration File Validation Successful.
2026-07-13 20:01:05 | INFO | Validating duplicate migration versions...
2026-07-13 20:01:05 | INFO | Duplicate migration version validation successful.
2026-07-13 20:01:05 | INFO | Skipping immutable migration validation (no base ref supplied).
2026-07-13 20:01:05 | INFO | All Repository Validations Completed Successfully.
2026-07-13 20:01:05 | INFO | Validation-only run completed successfully.
2026-07-13 20:02:06 | INFO | -----------------------------------------
2026-07-13 20:02:06 | INFO | Snowflake Deployment Started
2026-07-13 20:02:06 | INFO | -----------------------------------------
2026-07-13 20:02:06 | INFO | Starting Repository Validation...
2026-07-13 20:02:06 | INFO | Validating Project Structure...
2026-07-13 20:02:06 | INFO | Repository Structure Validation Successful.
2026-07-13 20:02:06 | INFO | Validating database/schema folder names...
2026-07-13 20:02:06 | INFO | Schema path validation successful for 11 target(s).
2026-07-13 20:02:06 | INFO | Validating SchemaChange File Naming...
2026-07-13 20:02:06 | INFO | Migration File Validation Successful.
2026-07-13 20:02:06 | INFO | Validating duplicate migration versions...
2026-07-13 20:02:06 | INFO | Duplicate migration version validation successful.
2026-07-13 20:02:06 | INFO | Skipping immutable migration validation (no base ref supplied).
2026-07-13 20:02:06 | INFO | All Repository Validations Completed Successfully.
2026-07-13 20:02:06 | INFO | Validation-only run completed successfully.
2026-07-13 20:09:17 | INFO | -----------------------------------------
2026-07-13 20:09:17 | INFO | Snowflake Deployment Started
2026-07-13 20:09:17 | INFO | -----------------------------------------
2026-07-13 20:09:17 | INFO | Starting Repository Validation...
2026-07-13 20:09:17 | INFO | Validating Project Structure...
2026-07-13 20:09:17 | INFO | Repository Structure Validation Successful.
2026-07-13 20:09:17 | INFO | Validating database/schema folder names...
2026-07-13 20:09:17 | INFO | Schema path validation successful for 11 target(s).
2026-07-13 20:09:17 | INFO | Validating SchemaChange File Naming...
2026-07-13 20:09:17 | INFO | Migration File Validation Successful.
2026-07-13 20:09:17 | INFO | Validating duplicate migration versions...
2026-07-13 20:09:17 | INFO | Duplicate migration version validation successful.
2026-07-13 20:09:17 | INFO | Skipping immutable migration validation (no base ref supplied).
2026-07-13 20:09:17 | INFO | All Repository Validations Completed Successfully.
2026-07-13 20:09:17 | INFO | Validation-only run completed successfully.
2026-07-13 20:11:04 | INFO | -----------------------------------------
2026-07-13 20:11:04 | INFO | Snowflake Deployment Started
2026-07-13 20:11:04 | INFO | -----------------------------------------
2026-07-13 20:11:04 | INFO | Starting Repository Validation...
2026-07-13 20:11:04 | INFO | Validating Project Structure...
2026-07-13 20:11:04 | INFO | Repository Structure Validation Successful.
2026-07-13 20:11:04 | INFO | Validating database/schema folder names...
2026-07-13 20:11:04 | INFO | Schema path validation successful for 11 target(s).
2026-07-13 20:11:04 | INFO | Validating SchemaChange File Naming...
2026-07-13 20:11:04 | INFO | Migration File Validation Successful.
2026-07-13 20:11:04 | INFO | Validating duplicate migration versions...
2026-07-13 20:11:04 | INFO | Duplicate migration version validation successful.
2026-07-13 20:11:04 | INFO | Skipping immutable migration validation (no base ref supplied).
2026-07-13 20:11:04 | INFO | All Repository Validations Completed Successfully.
2026-07-13 20:11:04 | INFO | Validation-only run completed successfully.
2026-07-14 22:02:11 | INFO | -----------------------------------------
2026-07-14 22:02:11 | INFO | Snowflake Deployment Started
2026-07-14 22:02:11 | INFO | -----------------------------------------
2026-07-14 22:02:11 | INFO | Starting Repository Validation...
2026-07-14 22:02:11 | INFO | Validating Project Structure...
2026-07-14 22:02:11 | INFO | Repository Structure Validation Successful.
2026-07-14 22:02:11 | INFO | Validating database/schema folder names...
2026-07-14 22:02:11 | INFO | Schema path validation successful for 12 target(s).
2026-07-14 22:02:11 | INFO | Validating SchemaChange File Naming...
2026-07-14 22:02:11 | INFO | Migration File Validation Successful.
2026-07-14 22:02:11 | INFO | Validating duplicate migration versions...
2026-07-14 22:02:11 | INFO | Duplicate migration version validation successful.
2026-07-14 22:02:11 | INFO | Grant role configuration validation successful.
2026-07-14 22:02:11 | INFO | Skipping immutable migration validation (no base ref supplied).
2026-07-14 22:02:11 | INFO | All Repository Validations Completed Successfully.
2026-07-14 22:02:11 | INFO | Validation-only run completed successfully.
2026-07-14 22:04:33 | INFO | -----------------------------------------
2026-07-14 22:04:33 | INFO | Snowflake Deployment Started
2026-07-14 22:04:33 | INFO | -----------------------------------------
2026-07-14 22:04:33 | INFO | Starting Repository Validation...
2026-07-14 22:04:33 | INFO | Validating Project Structure...
2026-07-14 22:04:33 | INFO | Repository Structure Validation Successful.
2026-07-14 22:04:33 | INFO | Validating database/schema folder names...
2026-07-14 22:04:33 | INFO | Schema path validation successful for 11 target(s).
2026-07-14 22:04:33 | INFO | Validating SchemaChange File Naming...
2026-07-14 22:04:33 | INFO | Migration File Validation Successful.
2026-07-14 22:04:33 | INFO | Validating duplicate migration versions...
2026-07-14 22:04:33 | INFO | Duplicate migration version validation successful.
2026-07-14 22:04:33 | INFO | Grant role configuration validation successful.
2026-07-14 22:04:33 | INFO | Skipping immutable migration validation (no base ref supplied).
2026-07-14 22:04:33 | INFO | All Repository Validations Completed Successfully.
2026-07-14 22:04:33 | INFO | Validation-only run completed successfully.
2026-08-11 13:49:56 | INFO | -----------------------------------------
2026-08-11 13:49:56 | INFO | Snowflake Deployment Started
2026-08-11 13:49:56 | INFO | -----------------------------------------
2026-08-11 13:49:56 | INFO | Starting Repository Validation...
2026-08-11 13:49:56 | INFO | Validating Project Structure...
2026-08-11 13:49:56 | INFO | Repository Structure Validation Successful.
2026-08-11 13:49:56 | INFO | Validating database/schema folder names...
2026-08-11 13:49:56 | INFO | Schema path validation successful for 12 target(s).
